elapsed_s,q_w,q_x,q_y,q_z,wheel_cmd,wheel_rpm,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,earth_mag_x,earth_mag_y,earth_mag_z,gps_x,gps_y,gps_z
1.0863854885101318,-0.008857999928295612,0.9866030216217041,-0.16165700554847717,0.020092999562621117,-22.0,0.0,0.2623000144958496,0.5604000091552734,-0.6251999735832214,-0.0003389999910723418,-7.699999696342275e-05,0.00047900000936351717,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.1679797172546387,-0.008864999748766422,0.9866120219230652,-0.16161100566387177,0.019992999732494354,-22.0,0.0,0.24539999663829803,0.5625,-0.5906000137329102,-4.999999873689376e-06,-0.006808999925851822,-0.01231900043785572,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.245527982711792,-0.008976000361144543,0.9867290258407593,-0.1609320044517517,0.019638000056147575,-21.0,-245.13809445987906,0.23680000007152557,0.550599992275238,-0.5909000039100647,0.0013899999903514981,-0.009411999955773354,-0.01957700029015541,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.3241424560546875,-0.00906199961900711,0.9868900179862976,-0.15997399389743805,0.019352000206708908,-21.0,-292.5117004680187,0.25130000710487366,0.5483999848365784,-0.5992000102996826,0.0010450000409036875,-0.007294000126421452,-0.025304000824689865,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.3993418216705322,-0.009146999567747116,0.9870659708976746,-0.1589069962501526,0.019109999760985374,-20.0,-360.1440576230492,0.2549999952316284,0.5582000017166138,-0.6133000254631042,0.002626999979838729,-0.0005849999724887311,-0.030138999223709106,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.4741084575653076,-0.009185000322759151,0.9872580170631409,-0.1577019989490509,0.019178999587893486,-20.0,-417.47843028110213,0.2515999972820282,0.5478000044822693,-0.6047000288963318,0.00021699999342672527,0.004207999911159277,-0.03460799902677536,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.549137830734253,-0.009170000441372395,0.9874579906463623,-0.15642300248146057,0.019342999905347824,-19.0,-457.73573390296,0.24300000071525574,0.5649999976158142,-0.5931000113487244,0.000965000013820827,0.008073999546468258,-0.037358999252319336,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.624135971069336,-0.009120999835431576,0.9876819849014282,-0.15496399998664856,0.019659999758005142,-19.0,-510.55139550714773,0.24639999866485596,0.5443999767303467,-0.6032999753952026,0.0008290000259876251,0.006548999808728695,-0.042518001049757004,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.699206829071045,-0.009088000282645226,0.9879119992256165,-0.15346300601959229,0.019896000623703003,-19.0,-561.6925669350309,0.23579999804496765,0.5547999739646912,-0.5947999954223633,-0.0010550000006332994,0.003662999952211976,-0.044569000601768494,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.774672508239746,-0.008952000178396702,0.9881560206413269,-0.15187199413776398,0.02005000039935112,-18.0,-599.5203836930456,0.23839999735355377,0.5649999976158142,-0.5967000126838684,0.0007970000151544809,0.0043680001981556416,-0.046480000019073486,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.8492212295532227,-0.008934999816119671,0.9884189963340759,-0.1501619964838028,0.019998999312520027,-18.0,-627.0903010033444,0.243599995970726,0.5529000163078308,-0.5981000065803528,0.011127999983727932,-0.012272000312805176,-0.048893000930547714,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.9241664409637451,-0.009235999546945095,0.9886869788169861,-0.14842599630355835,0.019579000771045685,-18.0,-654.3075245365321,0.23909999430179596,0.5454999804496765,-0.6000000238418579,0.0027129999361932278,-0.008855000138282776,-0.051054999232292175,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
2.0115833282470703,-0.009384999983012676,0.988959014415741,-0.1466200053691864,0.01935500092804432,-17.0,-688.0733944954128,0.25040000677108765,0.564300000667572,-0.6215999722480774,0.0035329998936504126,-0.015231000259518623,-0.05309600010514259,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.093221664428711,-0.009662000462412834,0.9892860054969788,-0.14444099366664886,0.018881000578403473,-16.0,-717.5316909830184,0.2386000007390976,0.550599992275238,-0.6028000116348267,0.0006130000110715628,-0.0019529999699443579,-0.05723100155591965,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.1707518100738525,-0.009631000459194183,0.9895870089530945,-0.1423480063676834,0.019047999754548073,-16.0,-743.4944237918215,0.23899999260902405,0.5562000274658203,-0.6022999882698059,-0.002460000105202198,-0.00203999993391335,-0.059268999844789505,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.249232053756714,-0.00966500025242567,0.989890992641449,-0.14020299911499023,0.0191040001809597,-15.0,-766.0878447395302,0.23440000414848328,0.5547999739646912,-0.5972999930381775,-0.004058999940752983,0.010741000063717365,-0.06158300116658211,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.3241796493530273,-0.009476999752223492,0.990185022354126,-0.13805299997329712,0.01962199993431568,-15.0,-786.9884575026233,0.24269999563694,0.5527999997138977,-0.6019999980926514,-0.00467800023034215,0.004329000134021044,-0.06246199831366539,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.3991618156433105,-0.00939599983394146,0.9904749989509583,-0.13594399392604828,0.019742000848054886,-15.0,-805.3691275167786,0.23800000548362732,0.5584999918937683,-0.5989999771118164,-0.001408000010997057,0.006271000020205975,-0.06483600288629532,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.4741275310516357,-0.009336999617516994,0.9907609820365906,-0.13380500674247742,0.02002199925482273,-14.0,-822.1430528912031,0.23579999804496765,0.5583999752998352,-0.6022999882698059,0.002891999902203679,-0.0036959999706596136,-0.06532900035381317,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.5491983890533447,-0.009433000348508358,0.9910550117492676,-0.13164600729942322,0.01975799910724163,-14.0,-837.0535714285714,0.2321999967098236,0.5522000193595886,-0.600600004196167,0.007619999814778566,-0.009752999991178513,-0.06649400293827057,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.6242289543151855,-0.009631000459194183,0.991346001625061,-0.12945500016212463,0.019540999084711075,-14.0,-851.5469770082317,0.2393999993801117,0.5486000180244446,-0.6014000177383423,0.006641999818384647,-0.010192999616265297,-0.06702399998903275,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.6991987228393555,-0.009879999794065952,0.9916380047798157,-0.12724199891090393,0.019114000722765923,-13.0,-868.5581933989578,0.24240000545978546,0.5645999908447266,-0.603600025177002,0.006308999843895435,-0.014437000267207623,-0.06773900240659714,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.7741525173187256,-0.010077999904751778,0.991927981376648,-0.12498900294303894,0.018834000453352928,-13.0,-880.2816901408451,0.23119999468326569,0.5609999895095825,-0.6022999882698059,0.004796000197529793,-0.004246999975293875,-0.06873100250959396,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
