# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=1
Bx,By,Bz
3.826715519594709747e+01,4.143425579930031799e-01,-1.154045167971495012e+01
3.826339470122623254e+01,4.176638181252776971e-01,-1.149915111715690941e+01
3.825960337644626463e+01,4.210071416293379998e-01,-1.145784871589038900e+01
3.825578123514635820e+01,4.243724230475194314e-01,-1.141654440714195040e+01
3.825192829017065321e+01,4.277595566991612142e-01,-1.137523812366680964e+01
3.824804455467501896e+01,4.311684356504628668e-01,-1.133392979951213242e+01
3.824413004012198769e+01,4.345989538333305813e-01,-1.129261937049247067e+01
3.824018475929951677e+01,4.380510029038093278e-01,-1.125130677348426289e+01
3.823620872431692419e+01,4.415244743569313179e-01,-1.120999194690298140e+01
3.823220194711183240e+01,4.450192590153984051e-01,-1.116867483058720012e+01
3.822816443996071456e+01,4.485352465063543459e-01,-1.112735536569048911e+01
3.822409621346135822e+01,4.520723274193761965e-01,-1.108603349513328062e+01
3.821999727957021520e+01,4.556303901061349304e-01,-1.104470916292933502e+01
3.821586764958592397e+01,4.592093228344452660e-01,-1.100338231463992855e+01
3.821170733516777318e+01,4.628090127227444950e-01,-1.096205289715584819e+01
3.820751634630802585e+01,4.664293479287429101e-01,-1.092072085913030222e+01
3.820329469438426884e+01,4.700702144027513185e-01,-1.087938615033326251e+01
3.819904239013317948e+01,4.737314980725956803e-01,-1.083804872208651560e+01
3.819475944416302582e+01,4.774130843145068526e-01,-1.079670852715694629e+01
3.819044586746959880e+01,4.811148574129424649e-01,-1.075536551965628718e+01
3.818610166939664907e+01,4.848367027863955681e-01,-1.071401965544999690e+01
3.818172686070667510e+01,4.885785036846058138e-01,-1.067267089154667126e+01
3.817732145154200651e+01,4.923401434108598540e-01,-1.063131918650749519e+01
3.817288545245431663e+01,4.961215042224291216e-01,-1.058996450024848812e+01
3.816841887235507613e+01,4.999224695857984457e-01,-1.054860679442786164e+01
3.816392172160075091e+01,5.037429208297092842e-01,-1.050724603186512418e+01
3.815939400994464137e+01,5.075827393965846035e-01,-1.046588217693065559e+01
3.815483574705483250e+01,5.114418062965666589e-01,-1.042451519544857774e+01
3.815024694303555464e+01,5.153200015508064835e-01,-1.038314505460719062e+01
3.814562760636565741e+01,5.192172064821449773e-01,-1.034177172331908956e+01
3.814097774700201171e+01,5.231333003144275073e-01,-1.030039517167917396e+01
3.813629737431928390e+01,5.270681624595059400e-01,-1.025901537132724606e+01
